0,1,2
Kimi no Na wa.,9.37,"['Drama', 'Romance', 'School', 'Supernatural', 'Movie']"
Fullmetal Alchemist: Brotherhood,9.26,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Magic', 'Military', 'Shounen', 'TV']"
GintamaÂ°,9.25,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen', 'TV']"
Steins;Gate,9.17,"['Sci-Fi', 'Thriller', 'TV']"
Gintama&#039;,9.16,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen', 'TV']"
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,9.15,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports', 'TV']"
Hunter x Hunter (2011),9.13,"['Action', 'Adventure', 'Shounen', 'Super', 'Power', 'TV']"
Ginga Eiyuu Densetsu,9.11,"['Drama', 'Military', 'Sci-Fi', 'Space', 'OVA']"
Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,9.1,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen', 'Movie']"
Gintama&#039;: Enchousen,9.11,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen', 'TV']"
